source,title,url,published_date,target_family_queried,local_llm_predicted_family,retrieved_at
tavily,EU SANCTIONS AGAINST RUSSIAN FEDERATION – UPDATE OF FAQ REGARDING PUBLIC PROCUREMENT (Post 12) - Specht & Partner GmbH,https://www.specht-partner.com/eu-sanctions-faq,,trade_policy,trade_policy,2026-09-11T22:11:14.776822+00:00
tavily,Dentons - EU-wide ban on Russian contractors participating in public procurement and concessions,https://www.dentons.com/en/insights/alerts/2022/april/14/participation-of-russian-contractors-in-public-procurement-and-concession-procedures,,trade_policy,trade_policy,2026-09-11T22:11:15.583282+00:00
tavily,"Are new EU Sanctions on government contracting a ""Don't Buy Russian"" rule? | Freshfields",https://www.freshfields.com/en/our-thinking/blogs/risk-and-compliance/are-new-eu-sanctions-on-government-contracting-a-dont-buy-russian-rule-102ho1h,,trade_policy,trade_policy,2026-09-11T22:11:16.016120+00:00
guardian,Reform UK given record £36m donation by British crypto billionaire,https://www.theguardian.com/politics/2026/sep/11/reform-uk-given-record-36m-donation-by-british-crypto-billionaire,2026-09-11,trade_policy,not_relevant,2026-09-11T22:11:16.482088+00:00
guardian,"Trump keeps touting $5,000 payments if Republicans retain control of Congress as some in his party question feasibility – live",https://www.theguardian.com/us-news/live/2026/sep/11/september-11-anniversary-memorials-world-trade-center-pentagon-vance-trump-us-politics-live,2026-09-11,trade_policy,not_relevant,2026-09-11T22:11:17.192469+00:00
guardian,North Carolina state trooper charged with murder of police captain,https://www.theguardian.com/us-news/2026/sep/11/north-carolina-state-trooper-police-captain,2026-09-11,trade_policy,not_relevant,2026-09-11T22:11:17.597657+00:00
tavily,Panama Canal cuts transit capacity as El Niño thre... | myKN,https://mykn.kuehne-nagel.com/news/article/panama-canal-cuts-transit-capacity-as-el-nio,,logistics_transport,logistics_transport,2026-09-11T22:11:18.155437+00:00
tavily,Panama Canal Tightens Transit Limits Again — Is 2023 About to Repeat Itself?,https://sea.weathernews.com/resources/202609/227,,logistics_transport,logistics_transport,2026-09-11T22:11:18.700302+00:00
tavily,"Panama Canal to cap daily transits, anticipating severe El Niño | Reuters",https://www.reuters.com/business/environment/panama-canal-cap-daily-transits-anticipating-severe-el-nio-2026-08-20,,logistics_transport,logistics_transport,2026-09-11T22:11:19.161812+00:00
guardian,"While Puerto Ricans protest for reliable access to water, the governor washes her hands",https://www.theguardian.com/us-news/ng-interactive/2026/sep/10/puerto-rico-water-access,2026-09-11,logistics_transport,not_relevant,2026-09-11T22:11:19.878611+00:00
