exposure_id,source_notice_id,contract_id,notice_type,contracting_authority_name,responsible_body,contracting_authority_region,awardee_name_source,publication_date,contract_value_eur,cpv_code,cpv_description,sector_group,contract_type,procurement_procedure,object_description,source_url,awardee_entity_key,awardee_display_id,awardee_contract_count,awardee_portfolio_value_share,authority_awardee_value_share,authority_awardee_notice_share,sector_portfolio_value_share,data_quality_flags
BOE-00001,BOE-B-2022-168,910/2021.,Contratación,MINISTERIO DE DEFENSA,Director de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,Comunidad de Madrid,"ITURRI, S.A. - GAUZON IBERICA, S.L.U. UTE LEY 18/1982 A CONSTITUIR.",2022-01-01,240000.00,44400000,44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),Construction structures and materials,Suministros,Abierto,Acuerdo Marco para el suministro de EPI´S de carácter general con destino a buques y dependencia de la Armada.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-168,ITURRISAGAUZONIBERICASLUUTELEY181982ACONSTITUIR,A4420,2,0.00014872,0.00073114,0.00028856,0.00118708,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00002,BOE-B-2022-169,21B70063400.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Valencia,Nacional,europea de logistica recursos y gestion global eurogest .,2022-01-01,72727.27,63120000,63000000 Servicios de transporte complementarios y auxiliares; servicios de agencias de viajes,Supporting and auxiliary transport services,Servicios,Abierto,"Servicio de localización, retirada, transporte, depósito y custodia de vehículos y bienes muebles en la Delegación Especial de la AEAT de Valencia.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-169,EUROPEADELOGISTICARECURSOSYGESTIONGLOBALEUROGEST,A2778,3,0.00000476,0.00003405,0.00160772,0.01208737,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00003,BOE-B-2022-170,21A80112500.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Castilla y León,Castilla y León,"TARGET TECNOLOGIA, S.A.",2022-01-01,1763.64,50610000,50600000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,Mantenimiento rayos X Linescan en AEAT Castilla y León.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-170,TARGETTECNOLOGIASA,A7352,43,0.00016642,0.00035312,0.01366559,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00004,BOE-B-2022-174,130219327633.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección General de Carreteras,Nacional,"PARMA INGENIERIA, S.L.",2022-01-01,1020000.00,71311000,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,30.176/21-1; TT-001-21. Apoyo técnico a la Dirección Técnica especializado en firmes.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-174,PARMAINGENIERIASL,A5814,2,0.00005483,0.00012986,0.00043879,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00005,BOE-B-2022-176,3.20/27510.0119.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Consejo de Administración,Principado de Asturias,CANTERAS DE CUARCITA SA.,2022-01-01,3913130.00,14212310,"14000000 Productos de la minería, de metales de base y productos afines","Mining, basic metals and related products",Suministros,Abierto,Suministro y transporte de balasto para la renovación integral de vía en el tramo Gijón-Laviana de la red de ancho métrico en Asturias.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-176,CANTERASDECUARCITASA,A1276,3,0.00031358,0.00116506,0.00131637,0.00367934,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00006,BOE-B-2022-177,6.21/28510.0046.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Presidencia,Nacional,VEOLIA SERVICIOS LECAM SAU.,2022-01-01,246861.00,38000000,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)","Laboratory, optical and precision equipment",Suministros,Abierto,Suministro de equipos de protección y sensores detectores de gases para instalaciones en túneles de la red ferroviaria.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-177,VEOLIASERVICIOSLECAMSAU,A8715,29,0.00010636,0.00023126,0.00263273,0.00792739,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00007,BOE-B-2022-178,630201827440.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección General de Carreteras,Andalucía,"Atenea Seguridad y Medioambiente, S.A.U.",2022-01-01,527644.17,71317200,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,30.1248/20-6; SS-GR-005 Materia de seguridad y salud relativo a las obras de Construcción en la Demarcación de Carreteras del Estado en Andalucía Oriental. Provincia de Granada.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-178,ATENEASEGURIDADYMEDIOAMBIENTESAU,A0815,9,0.00009297,0.00011032,0.00087758,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00008,BOE-B-2022-180,044/21-S.,Contratación,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Ebro,Nacional,"EDS INGENIERIA Y MONTAJES, S.A.U.",2022-01-01,8000.00,50000000,45000000 Trabajos de construcción 50800000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,"Contrato de mantenimiento instalaciones eléctricas de alta y baja tensión de Confederación Hidrográfica del Ebro (Provincias de Huesca, La Rioja, Navarra, Soria, Teruel y Zaragoza), reservando el lote número 2 a la participación de centros especiales de empleo y empresas de inserción, de conformidad con la disposición adicional cuarta de la LCSP.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-180,EDSINGENIERIAYMONTAJESSAU,A2369,2,0.00000228,0.00000526,0.00068918,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00009,BOE-B-2022-181,FP.SGR.012/2021.,Contratación,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Júcar,Comunidad Valenciana,"PYCSECA SEGURIDAD, S.A.",2022-01-01,175287.60,79000000,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",Business services,Servicios,No disponible,"Control de acceso y vigilancia de la sede de Valencia de la Confederación Hidrográfica del Júcar, O.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-181,PYCSECASEGURIDADSA,A6182,14,0.00009209,0.00105504,0.00413508,0.03518839,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00010,BOE-B-2022-182,816/21.,Contratación,MINISTERIO DE CIENCIA E INNOVACIÓN,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",Comunidad Valenciana,AVS ADDED VALUE INDUSTRIAL ENGINEERING SOLUTIONS S.L.U.,2022-01-01,390685.72,38970000,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)","Laboratory, optical and precision equipment",Suministros,Negociado sin publicidad,Adquisición de las estructuras necesarias de soporte mecánico de fibra de carbono (pétalos) que se emplearán en el detector de trazas del experimento ATLAS con destino al Instituto de Física Corpuscular.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-182,AVSADDEDVALUEINDUSTRIALENGINEERINGSOLUTIONSSLU,A0924,1,0.00001339,0.00093609,0.00100200,0.00792739,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
