codigo;fac_tcorr;fact_tsig;emp_tsig;emp_tcorr;pi_tcorr;pi_tsig;po_tcorr;po_tsig;c_dem;c_fin;c_cob;c_sum;fac_dif19;emp_dif19;m1_telet;m1_vonline;m1_erte;m1_despido;m1_sal;m1_rinv;m1_ico;m1_ocred;m1_aptrib;m1_alq;n8;gempleo;peso;rama12;ola;trim;m_recerte;m_solerte;m_ajus;m_cierre;m_telet;m_canales;m_mercad;m_tecno;m_rinv;m_capit;m_ico;m_ngeu;m_ayud;pi_1year;po_1year;cl_1year;dur_dsum;impguerra_inputen;impguerra_inputnen;impguerra_sum;impguerra_di;impguerra_dn;impguerra_inv;c_disp;c_comp;c_inccovid;c_incpol;c_energ;calidad_2020;peco_2020;fiab_2020;tamest_2020;tamrec_2020;anyconst_2020;pcost_2020;gva_output_2020;gop_output_2020;r1_2020;r2_2020;r3_2020;r4_2020;e1_2020;e2_2020;int_burden_2020;apps_2020;accp_2020;fixemp_2020;intang_2020;liquid_2020;calidad_2019;peco_2019;fiab_2019;tamest_2019;tamrec_2019;anyconst_2019;pcost_2019;gva_output_2019;gop_output_2019;r1_2019;r2_2019;r3_2019;r4_2019;e1_2019;e2_2019;int_burden_2019;apps_2019;accp_2019;fixemp_2019;intang_2019;liquid_2019;gva_2019_s;gva_2020_s;output_2019_s;output_2020_s;gop_2019_s;gop_2020_s
9dfeffd3c71dd6a28711d14e715433ab770ad3fe4457c67e0b181f0773185ac1;-1;-1;-1;-1;-1;-1;-1;-1;2;3;2;2;-22.5;0;;;;;;;;;;;1;1;1009.00195;Comercio;2;2021T1;;1;1;1;1;1;3;3;3;1;2;4;;;;;;;;;;;;2;2;2;2;;S;S;;2;2;1967;57189.66;30.700001;1.25;-1.76;0.80000001;-2.3399999;-2.5599999;18.35;2091.99;16.719999;78.410004;-4.7600002;91.379311;0.7093749;37.725628;S;S;;2;2;1957;57984;28.99;10.6;10.7;1.04;12.39;9.6700001;14.87;109.52;1.13;107.91;9.0699997;85.599998;0.63103443;39.52327;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 100 a 499
909a0567184614036c0e0b62632afbb70178928720c3bce730f0636145e992d4;0;0;0;0;0;0;0;0;3;3;2;3;0;0;;;;;;;;;;;1;1;1009.00195;Agricultura;2;2021T1;1;1;1;1;4;1;3;1;3;1;1;1;;;;;;;;;;;;3;3;3;3;;S;S;;2;1;1992;40485.512;30.65;3.9200001;-1.0700001;1.75;-2.54;-2.8199999;34.27;800.96997;14.01;46.02;56.900002;74.63768;0;19.688673;S;S;;2;1;1982;39380;33.27;8.25;4.1399999;2.1099999;4.9699998;2.03;28.84;288.92001;6.1100001;41.099998;40.189999;74;0;18.441662;De 5000 a 9999;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 500 a 999
1f2ee8640a603c6d464f976b9d2111f31ecceedb9cc8658a96e1110975df79e1;0;0;0;0;0;0;0;0;4;3;2;3;0;0;;;;;;;;;;;1;1;1731.30005;Agricultura;3;2021T2;;1;1;1;1;2;2;2;1;1;1;1;;;;;;;;;;;;3;3;4;4;;S;S;;2;2;1976;32482.141;6.4299998;0.72000003;-0.92000002;1.48;-3.0799999;-2.4000001;47.299999;2240.6101;33.189999;23.389999;21.02;91.071426;0.36751959;7.3503919;S;S;;2;2;1966;31857.141;6.98;1.21;0.92000002;2.3900001;0.40000001;-1.47;26.48;555.84998;13.3;18.08;27.780001;91.071426;0.095684625;0.37317002;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 100 a 499;De 100 a 499
1f2ee8640a603c6d464f976b9d2111f31ecceedb9cc8658a96e1110975df79e1;0;0;0;0;0;0;0;0;3;4;2;3;2.5;0;;;;;;;;;;;1;1;1881.8478;Agricultura;4;2021T3;;;1;1;1;1;1;2;2;1;1;1;1;;;;;;;;;;;3;2;2;2;;S;S;;2;2;1976;32482.141;6.4299998;0.72000003;-0.92000002;1.48;-3.0799999;-2.4000001;47.299999;2240.6101;33.189999;23.389999;21.02;91.071426;0.36751959;7.3503919;S;S;;2;2;1966;31857.141;6.98;1.21;0.92000002;2.3900001;0.40000001;-1.47;26.48;555.84998;13.3;18.08;27.780001;91.071426;0.095684625;0.37317002;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 100 a 499;De 100 a 499
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;-2;-2;-2;-2;-2;-2;-2;-2;4;4;3;3;-22.5;0;3;3;3;3;3;3;3;3;3;3;7;1;1187.33715;Agricultura;1;2020T4;;;;;;;;;;;;;;;;;;;;;;;;4;3;1;2;;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
6d4a5cf91a7dc746d354a85d7b34d0351440ec3577115abd08547f19703e14f1;1;1;1;1;1;1;1;1;3;3;4;3;-22.5;0;;;;;;;;;;;7;1;1009.00195;Agricultura;2;2021T1;4;1;1;1;1;4;4;4;1;1;1;1;;;;;;;;;;;;3;2;2;2;;S;S;;2;2;1988;44920.859;42.34;14.74;8.6400003;0.56999999;9.2299995;8.0699997;6.8200002;46.849998;0.27000001;31.25;83.440002;100;0.29093447;10.962411;S;S;;2;2;1978;48035.969;42.209999;15;9.5600004;3.52;9.6599998;6.04;1.64;9.1599998;0.31999999;34.529999;89.709999;100;0.44073203;6.531229;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 1000 a 4999
6d4a5cf91a7dc746d354a85d7b34d0351440ec3577115abd08547f19703e14f1;1;1;1;1;1;1;1;1;4;4;1;4;-7.5;-2.5;;;;;;;;;;;2;1;1072.5945;Agricultura;5;2021T4;;1;1;1;1;4;;;1;1;1;1;1;1;1;1;2;;;;;;;4;4;4;4;2;S;S;;2;2;1988;44920.859;42.34;14.74;8.6400003;0.56999999;9.2299995;8.0699997;6.8200002;46.849998;0.27000001;31.25;83.440002;100;0.29093447;10.962411;S;S;;2;2;1978;48035.969;42.209999;15;9.5600004;3.52;9.6599998;6.04;1.64;9.1599998;0.31999999;34.529999;89.709999;100;0.44073203;6.531229;10000 o más;De 5000 a 9999;10000 o más;10000 o más;De 1000 a 4999;De 1000 a 4999
1f2ee8640a603c6d464f976b9d2111f31ecceedb9cc8658a96e1110975df79e1;0;0;0;0;0;0;0;0;3;3;2;3;0;2.5;;;;;;;;;;;2;1;1362.22585;Agricultura;7;2022T2;;;1;1;2;2;2;;2;1;1;2;2;1;1;1;2;1;2;2;2;3;2;4;2;3;2;3;S;S;;2;2;1976;32482.141;6.4299998;0.72000003;-0.92000002;1.48;-3.0799999;-2.4000001;47.299999;2240.6101;33.189999;23.389999;21.02;91.071426;0.36751959;7.3503919;S;S;;2;2;1966;31857.141;6.98;1.21;0.92000002;2.3900001;0.40000001;-1.47;26.48;555.84998;13.3;18.08;27.780001;91.071426;0.095684625;0.37317002;De 1000 a 4999;De 1000 a 4999;10000 o más;10000 o más;De 100 a 499;De 100 a 499
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;0;0;0;0;0;0;0;0;1;3;3;3;0;0;;;;;;;;;;;6;2;1016.376;Agricultura;7;2022T2;1;1;1;1;1;1;1;3;2;1;3;3;2;2;0;2;;1;2;3;3;3;2;2;2;2;2;1;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
727452ed22b7113f3122dbfb9b1fac1d35b49cc4ace98a8f376a0852d01df45f;1;1;1;1;1;1;1;1;4;3;3;3;-22.5;0;;;;;;;;;;;6;2;1009.00195;Agricultura;2;2021T1;;1;1;1;2;1;1;2;1;1;3;2;;;;;;;;;;;;3;3;1;2;;S;S;;2;2;1983;32721.52;43.439999;7.0799999;1.16;1.63;0.69;-0.47999999;49.5;696.09003;11.35;182.63;67.220001;98.734177;0.62090373;3.541451;S;S;;2;2;1973;35392.859;43.290001;6.46;1.41;1.4299999;1.39;-0.02;48.189999;632.08002;9.0600004;182.62;57.900002;92.85714;0.87315637;0.40117994;De 1000 a 4999;De 1000 a 4999;De 5000 a 9999;De 5000 a 9999;De 500 a 999;De 500 a 999
